Mathematical Aptitude,Logical Reasoning,Openness,Conscientiousness,Emotional Stability,Agreeableness/ Assertiveness,Creativity,Aptitude,Programming,Design Software,3D Skills,Web Development Confidence,Suggested Tracks
Bad,Excellent,Not Open,Moderate,Overwhelmed,In-Between,Highly Creative,Not Technically Inclined,Advanced,Highly Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Excellent,Average,Not Open,Moderate,Pressured (Composed),In-Between,Not Creative,Technically Inclined,Intermediate,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Average,Excellent,Somewhat Open,Highly,Overwhelmed,Cooperative,Not Creative,Technically Inclined,Intermediate,Proficient,Not Experienced,Not Confident,"Cyber Security, Data Science"
Excellent,Bad,Somewhat Open,Not,Overwhelmed,Not Cooperative,Highly Creative,Technically Inclined,Intermediate,Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Average,Average,Not Open,Moderate,Overwhelmed,In-Between,Highly Creative,Technically Inclined,Intermediate,Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Excellent,Average,Not Open,Highly,Overwhelmed,Not Cooperative,Not Creative,Technically Inclined,Advanced,Not Proficient,Highly Experienced,Highly Confident,Blockchain
Bad,Excellent,Somewhat Open,Highly,Overwhelmed,Not Cooperative,Creative,Not Technically Inclined,Intermediate,Highly Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Average,Average,Open,Highly,Calm,In-Between,Not Creative,Not Technically Inclined,Basic,Proficient,Not Experienced,Moderately Confident,Blockchain
Excellent,Average,Open,Moderate,Overwhelmed,Not Cooperative,Not Creative,Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Bad,Average,Open,Moderate,Overwhelmed,Not Cooperative,Highly Creative,Technically Inclined,Advanced,Proficient,Highly Experienced,Moderately Confident,"Mobile Application, Software Development"
Excellent,Excellent,Not Open,Highly,Overwhelmed,Cooperative,Highly Creative,Not Technically Inclined,Basic,Proficient,Highly Experienced,Moderately Confident,Blockchain
Average,Bad,Somewhat Open,Highly,Overwhelmed,In-Between,Not Creative,Technically Inclined,Intermediate,Proficient,Moderately Experienced,Highly Confident,"3D Animation Skills, Product Design"
Excellent,Bad,Not Open,Moderate,Pressured (Composed),In-Between,Creative,Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Moderately Confident,"Mobile Application, Software Development"
Bad,Bad,Not Open,Highly,Overwhelmed,Not Cooperative,Not Creative,Technically Inclined,Intermediate,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Excellent,Excellent,Open,Moderate,Overwhelmed,Cooperative,Highly Creative,Technically Inclined,Intermediate,Highly Proficient,Highly Experienced,Moderately Confident,"Mobile Application, Software Development"
Bad,Excellent,Open,Moderate,Overwhelmed,In-Between,Not Creative,Not Technically Inclined,Advanced,Highly Proficient,Moderately Experienced,Moderately Confident,"3D Animation Skills, Product Design"
Excellent,Bad,Not Open,Not,Overwhelmed,Cooperative,Not Creative,Technically Inclined,Basic,Highly Proficient,Highly Experienced,Highly Confident,Blockchain
Excellent,Bad,Not Open,Not,Pressured (Composed),Not Cooperative,Not Creative,Not Technically Inclined,Advanced,Not Proficient,Moderately Experienced,Moderately Confident,Blockchain
Bad,Bad,Somewhat Open,Moderate,Pressured (Composed),Not Cooperative,Creative,Technically Inclined,Basic,Not Proficient,Moderately Experienced,Highly Confident,Blockchain
Bad,Average,Not Open,Highly,Pressured (Composed),Not Cooperative,Not Creative,Technically Inclined,Advanced,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Bad,Average,Not Open,Highly,Pressured (Composed),Not Cooperative,Not Creative,Not Technically Inclined,Advanced,Not Proficient,Not Experienced,Highly Confident,Blockchain
Average,Average,Somewhat Open,Highly,Calm,In-Between,Highly Creative,Technically Inclined,Intermediate,Proficient,Moderately Experienced,Not Confident,"3D Animation Skills, Product Design"
Bad,Average,Somewhat Open,Moderate,Calm,Not Cooperative,Not Creative,Technically Inclined,Advanced,Proficient,Moderately Experienced,Highly Confident,"3D Animation Skills, Product Design"
Excellent,Average,Open,Highly,Pressured (Composed),Not Cooperative,Not Creative,Technically Inclined,Basic,Not Proficient,Moderately Experienced,Not Confident,Blockchain
Average,Excellent,Not Open,Not,Pressured (Composed),In-Between,Not Creative,Technically Inclined,Advanced,Highly Proficient,Highly Experienced,Not Confident,"Mobile Application, Software Development"
Average,Excellent,Open,Not,Pressured (Composed),Cooperative,Not Creative,Not Technically Inclined,Basic,Proficient,Highly Experienced,Highly Confident,Blockchain
Excellent,Average,Not Open,Highly,Calm,In-Between,Highly Creative,Not Technically Inclined,Advanced,Not Proficient,Not Experienced,Moderately Confident,Blockchain
Average,Bad,Not Open,Highly,Calm,Not Cooperative,Not Creative,Not Technically Inclined,Basic,Highly Proficient,Highly Experienced,Not Confident,Blockchain
Excellent,Excellent,Open,Highly,Overwhelmed,Not Cooperative,Creative,Not Technically Inclined,Basic,Proficient,Not Experienced,Highly Confident,Blockchain
